"tick","Human Count","Zombie Count"
1.0,99,6
2.0,99,6
3.0,99,6
4.0,99,6
5.0,99,6
6.0,99,6
7.0,99,6
8.0,99,6
9.0,99,6
10.0,99,6
11.0,99,6
12.0,99,6
13.0,99,6
14.0,99,6
15.0,99,6
16.0,99,6
17.0,99,6
18.0,99,6
19.0,99,6
20.0,99,6
21.0,99,6
22.0,98,7
23.0,98,7
24.0,98,7
25.0,98,7
26.0,98,7
27.0,98,7
28.0,98,7
29.0,98,7
30.0,98,7
31.0,98,7
32.0,98,7
33.0,98,7
34.0,98,7
35.0,98,7
36.0,98,7
37.0,98,7
38.0,98,7
39.0,98,7
40.0,98,7
41.0,98,7
42.0,98,7
43.0,97,8
44.0,97,8
45.0,97,8
46.0,97,8
47.0,96,9
48.0,96,9
49.0,96,9
50.0,96,9
51.0,96,9
52.0,96,9
53.0,96,9
54.0,96,9
55.0,96,9
56.0,96,9
57.0,96,9
58.0,96,9
59.0,96,9
60.0,96,9
61.0,96,9
62.0,95,10
63.0,95,10
64.0,95,10
65.0,94,11
66.0,94,11
67.0,94,11
68.0,94,11
69.0,94,11
70.0,94,11
71.0,94,11
72.0,94,11
73.0,94,11
74.0,94,11
75.0,94,11
76.0,93,12
77.0,93,12
78.0,93,12
79.0,93,12
80.0,92,13
81.0,91,14
82.0,91,14
83.0,91,14
84.0,90,15
85.0,90,15
86.0,90,15
87.0,90,15
88.0,88,17
89.0,87,18
90.0,87,18
91.0,87,18
92.0,87,18
93.0,87,18
94.0,87,18
95.0,87,18
96.0,86,19
97.0,86,19
98.0,85,20
99.0,85,20
100.0,85,20
101.0,84,21
102.0,84,21
103.0,84,21
104.0,83,22
105.0,82,23
106.0,82,23
107.0,81,24
108.0,80,25
109.0,80,25
110.0,80,25
111.0,80,25
112.0,80,25
113.0,79,26
114.0,79,26
115.0,79,26
116.0,79,26
117.0,78,27
118.0,76,29
119.0,76,29
120.0,74,31
121.0,74,31
122.0,71,34
123.0,69,36
124.0,68,37
125.0,68,37
126.0,68,37
127.0,67,38
128.0,67,38
129.0,67,38
130.0,67,38
131.0,66,39
132.0,64,41
133.0,63,42
134.0,63,42
135.0,62,43
136.0,62,43
137.0,61,44
138.0,61,44
139.0,61,44
140.0,61,44
141.0,61,44
142.0,61,44
143.0,60,45
144.0,60,45
145.0,60,45
146.0,60,45
147.0,60,45
148.0,60,45
149.0,60,45
150.0,59,46
151.0,57,48
152.0,56,49
153.0,56,49
154.0,55,50
155.0,54,51
156.0,53,52
157.0,52,53
158.0,52,53
159.0,51,54
160.0,50,55
161.0,50,55
162.0,49,56
163.0,49,56
164.0,49,56
165.0,49,56
166.0,49,56
167.0,49,56
168.0,49,56
169.0,49,56
170.0,49,56
171.0,49,56
172.0,49,56
173.0,48,57
174.0,45,60
175.0,44,61
176.0,44,61
177.0,43,62
178.0,43,62
179.0,42,63
180.0,41,64
181.0,41,64
182.0,40,65
183.0,40,65
184.0,40,65
185.0,39,66
186.0,38,67
187.0,37,68
188.0,37,68
189.0,36,69
190.0,36,69
191.0,36,69
192.0,35,70
193.0,35,70
194.0,35,70
195.0,34,71
196.0,34,71
197.0,34,71
198.0,34,71
199.0,32,73
200.0,32,73
201.0,32,73
202.0,31,74
203.0,28,77
204.0,27,78
205.0,27,78
206.0,27,78
207.0,27,78
208.0,27,78
209.0,27,78
210.0,26,79
211.0,25,80
212.0,25,80
213.0,25,80
214.0,24,81
215.0,24,81
216.0,23,82
217.0,22,83
218.0,22,83
219.0,21,84
220.0,21,84
221.0,20,85
222.0,20,85
223.0,19,86
224.0,18,87
225.0,17,88
226.0,15,90
227.0,14,91
228.0,14,91
229.0,13,92
230.0,13,92
231.0,13,92
232.0,13,92
233.0,12,93
234.0,10,95
235.0,10,95
236.0,10,95
237.0,10,95
238.0,9,96
239.0,8,97
240.0,8,97
241.0,8,97
242.0,8,97
243.0,8,97
244.0,8,97
245.0,8,97
246.0,7,98
247.0,7,98
248.0,7,98
249.0,7,98
250.0,7,98
251.0,7,98
252.0,6,99
253.0,6,99
254.0,5,100
255.0,5,100
256.0,5,100
257.0,4,101
258.0,4,101
259.0,4,101
260.0,4,101
261.0,4,101
262.0,4,101
263.0,4,101
264.0,4,101
265.0,4,101
266.0,4,101
267.0,4,101
268.0,4,101
269.0,4,101
270.0,4,101
271.0,4,101
272.0,4,101
273.0,4,101
274.0,4,101
275.0,4,101
276.0,4,101
277.0,4,101
278.0,4,101
279.0,4,101
280.0,4,101
281.0,4,101
282.0,4,101
283.0,3,102
284.0,3,102
285.0,3,102
286.0,3,102
287.0,3,102
288.0,3,102
289.0,3,102
290.0,3,102
291.0,3,102
292.0,3,102
293.0,3,102
294.0,3,102
295.0,3,102
296.0,3,102
297.0,3,102
298.0,3,102
299.0,3,102
300.0,3,102
301.0,3,102
302.0,3,102
303.0,3,102
304.0,3,102
305.0,3,102
306.0,3,102
307.0,3,102
308.0,3,102
309.0,3,102
310.0,3,102
311.0,3,102
312.0,3,102
313.0,3,102
314.0,3,102
315.0,3,102
316.0,3,102
317.0,3,102
318.0,3,102
319.0,3,102
320.0,3,102
321.0,3,102
322.0,3,102
323.0,3,102
324.0,3,102
325.0,3,102
326.0,3,102
327.0,3,102
328.0,3,102
329.0,3,102
330.0,3,102
331.0,3,102
332.0,3,102
333.0,3,102
334.0,3,102
335.0,3,102
336.0,3,102
337.0,3,102
338.0,3,102
339.0,3,102
340.0,3,102
341.0,3,102
342.0,3,102
343.0,3,102
344.0,2,103
345.0,2,103
346.0,2,103
347.0,2,103
348.0,2,103
349.0,2,103
350.0,1,104
351.0,1,104
352.0,1,104
353.0,1,104
354.0,1,104
355.0,1,104
356.0,1,104
